id,kind,source,text,occurrences,age_range,place,scene,present,flags,mark,notes
S-0001,Scene,played,"Ibrahim Rocha, your older sister has come in after everyone else three nights this week, and said a different place each time. Nobody has said anything about it at breakfast, and you have started waiting to see whether they will.",1,age 5,"Kentucky","episode","Ibrahim Rocha, your older sister","vocative-binding",,
S-0002,Scene,played,"Something got broken in the corridor at your school and your name is the one that came up. You were there. You did not do it. The person who did is standing four feet away saying nothing.",15,ages 5–10,"Kentucky","episode","","",,
S-0003,Scene,played,"Ibrahim Rocha has not brought up the conversation again, and neither have you. Tonight she asks you for money, and does not say what for.",1,age 5,"Kentucky","episode","Ibrahim Rocha, your older sister","",,
S-0004,Scene,played,"Someone at home has been in bed for days. The mornings are quieter than they should be, and nobody has explained why.",1,age 5,"Kentucky","formative","","",,
S-0005,Scene,played,"There is a phone call at an hour when phone calls are never good, and it is about Ibrahim Rocha. By the time anybody explains it to you properly, the part where you could have said something has been over for a year.",1,age 6,"Kentucky","episode","Ibrahim Rocha, your older sister","",,
S-0006,Scene,played,"A room of children you do not know, a coat hook with your name on it, and an adult who claps twice when it is time to listen.",1,age 7,"Kentucky","formative","","",,
S-0007,Scene,played,"The table is full except for one gap, and someone is standing at the end of it holding a tray.",5,ages 8–12,"Kentucky","formative","Bo Hill, who is in your class","",,
S-0008,Scene,played,"You and Bo Hill have spent most of this year in each other's houses. This afternoon they want you to come somewhere you have already said you would not go.",1,age 8,"Kentucky","episode","Bo Hill, who is in your class","",,
S-0009,Scene,played,"Miranda Rosario, your younger sister has come in after everyone else three nights this week, and said a different place each time. Nobody has said anything about it at breakfast, and you have started waiting to see whether they will.",1,age 8,"Kentucky","episode","Miranda Rosario, your younger sister","vocative-binding",,
S-0010,Scene,played,"The house needs you on the same afternoons the thing you signed up for does.",7,ages 8–11,"Kentucky","formative","","vague-referent",,
S-0011,Scene,played,"The person you named has not spoken to you since, and has told other people their own version. One of them asks you, straight out, what actually happened.",7,ages 9–11,"Kentucky","episode","","",,
S-0012,Scene,played,"A teacher keeps you back for a minute after the others go, and offers to help with the thing you keep getting wrong.",8,ages 9–11,"Kentucky","formative","Selena Wynn","vague-referent",,
S-0013,Scene,played,"Miranda Rosario is up before you most mornings now, and has been for a while. Neither of you has ever gone back over the year it took, and there is a version of this evening where one of you does.",1,age 9,"Kentucky","episode","Miranda Rosario, your younger sister","",,
S-0014,Scene,played,"You and Selena Wynn have spent most of this year in each other's houses. This afternoon they want you to come somewhere you have already said you would not go.",1,age 9,"Kentucky","episode","Selena Wynn","",,
S-0015,Scene,played,"The school is changing a rule, and for once it is asking the people the rule is about.",2,ages 9–12,"Kentucky","formative","","",,
S-0016,Scene,played,"Deborah Perez, your younger brother has come in after everyone else three nights this week, and said a different place each time. Nobody has said anything about it at breakfast, and you have started waiting to see whether they will.",2,age 10,"Kentucky","episode","Deborah Perez, your younger brother","vocative-binding",,
S-0017,Scene,played,"Deborah Perez has not brought up the conversation again, and neither have you. Tonight he asks you for money, and does not say what for.",2,age 11,"Kentucky","episode","Deborah Perez, your younger brother","",,
